symbol,peRatio,pbRatio,pcfRatio,pca_clusters
ANSS,67.76898,7.25105,55.51796,0
BSX,117.8998,3.86687,37.92276,0
CCI,72.30122,9.31034,29.53342,0
CRL,56.79024,9.56226,34.07296,0
CRM,102.3211,4.54421,47.49015,0
DLR,87.75672,2.65539,23.17016,0
DVN,136.1009,2.29643,10.13011,0
EA,54.6344,4.67477,39.12537,0
ECL,59.66769,9.29246,32.78703,0
EQIX,222.5511,7.15036,40.22531,0
GE,168.8731,3.17421,20.82205,0
HAL,120.1876,3.19515,16.31884,0
IFF,104.4612,1.51735,38.70222,0
INCY,49.78498,5.71059,42.84356,0
INFO,78.45448,5.44584,39.65937,0
INTU,74.16396,15.37276,62.52961,0
IQV,82.31481,8.5242,25.15501,0
ISRG,75.76656,11.10649,61.75728,0
KSU,204.2587,6.47908,49.63112,0
MCHP,91.81333,7.8088,26.75093,0
O,68.15234,2.15944,24.42311,0
PLD,62.0907,2.97328,28.95087,0
PPL,92.30569,1.46275,14.50411,0
PTC,59.63789,8.15405,43.96556,0
PXD,164.0062,1.59439,16.6254,0
SNPS,66.32548,9.41767,50.82461,0
STE,63.22805,4.08977,39.13258,0
TWTR,133.9307,6.49221,55.60181,0
VTR,140.2164,2.08637,19.39338,0
XYL,61.6792,7.75733,37.20906,0
A,53.4096,10.50269,39.83022,1
AAPL,28.08977,36.94403,24.2428,1
ABBV,28.83958,15.06379,12.25744,1
ACN,37.00215,10.87037,33.02626,1
ADBE,55.83391,22.24152,48.43412,1
ADP,32.46662,14.72462,26.81334,1
ADSK,47.85029,46.88917,42.91091,1
ALLE,26.59557,15.49255,22.04684,1
AMD,36.6998,17.65331,32.88953,1
AMGN,21.89673,14.87439,13.26961,1
AMT,58.91805,23.08051,21.86737,1
AMZN,58.2731,14.73722,28.69841,1
AON,31.93625,14.7095,26.53601,1
BF/B,42.8444,12.26301,38.21709,1
CDNS,66.33678,17.69175,53.90593,1
CDW,28.72538,24.75897,20.83628,1
CLX,29.58888,48.92388,21.62699,1
COST,42.50636,12.12816,30.67278,1
CTAS,38.44624,11.0979,27.29091,1
CTXS,37.64756,46.10233,21.67966,1
EL,39.97234,18.60938,31.92566,1
EW,51.27894,14.38399,46.49065,1
GNRC,52.80013,16.17805,45.23201,1
HSY,24.97321,15.62476,20.30605,1
IT,47.38037,49.0342,32.53773,1
ITW,25.43542,19.12909,19.69793,1
KLAC,26.63961,16.12909,22.59231,1
LLY,34.59398,34.1653,29.29356,1
LRCX,21.76613,13.86002,19.73999,1
LW,28.35927,18.63444,19.81276,1
MCO,33.28606,31.4647,29.57426,1
MKTX,55.7918,15.68939,48.14189,1
MO,19.5309,27.2119,18.39482,1
MRNA,54.1805,26.09161,48.73282,1
MSFT,36.59807,15.61119,30.36569,1
NFLX,60.62593,18.29716,16.1761,1
NKE,43.54348,19.16046,37.21745,1
NTAP,23.4657,27.40578,18.602,1
ODFL,40.65434,10.15013,30.87098,1
PAYX,35.80894,13.2423,30.34301,1
PEP,25.98115,13.86968,19.4688,1
POOL,34.95634,21.09143,32.58817,1
PSA,42.93641,11.19494,29.0661,1
PYPL,65.81033,15.14713,52.0479,1
QCOM,16.45281,18.17464,13.88916,1
ROK,22.81456,15.34179,20.31821,1
ROL,55.1101,17.5113,43.13722,1
SHW,36.38296,26.91585,27.72328,1
SPG,28.52923,13.43169,14.10994,1
STX,15.0127,29.39402,10.77298,1
SYY,74.86416,25.2044,31.02616,1
TJX,33.76031,13.01117,24.69894,1
TXN,26.91142,15.97048,23.11739,1
UPS,27.43626,15.30658,18.51062,1
V,53.01814,12.54012,40.15275,1
VRSK,48.77902,11.93497,30.80534,1
WST,65.48906,16.31451,54.25779,1
WU,10.13098,28.20426,7.83246,1
XLNX,49.46156,11.92215,39.44704,1
ZBRA,38.38766,11.20046,31.24764,1
ZTS,50.32862,21.9129,40.48768,1
AAP,22.04689,3.95546,14.82006,2
ABT,35.02266,6.5631,22.4527,2
ADI,37.33553,5.12121,36.61063,2
ADM,14.64467,1.55459,10.16753,2
